date,competitor,name,group,params,price,article
18.06.2024,Sunlight,"
    Серебряные серьги с фианитами
  ",Серьги,"{'Модель': 'S50901-C9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '2.0 г'}",1390,84380
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': 'S5446-K9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '0.9 г'}",790,26248
18.06.2024,Sunlight,"
    Серебряные серьги с фианитами
  ",Серьги,"{'Модель': '48672А.5', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Диаметр серег': '4 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.95 г'}",990,252127
18.06.2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '0275-K5M-02', 'Материал изделия': 'Белое золото, Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.0 г'}",18990,51515
18.06.2024,Sunlight,"
    Золотое кольцо с гранатом и фианитами
  ",Кольца,"{'Модель': 'К122-6036Гр*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит, Гранат', 'Страна производства': 'Россия', 'Вес изделия': '0.96 г'}",7490,187860
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами
  ",Кольца,"{'Модель': 'S50476-K9W-02', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '1.72 г'}",1490,84573
18.06.2024,Sunlight,"
    Серебряное кольцо с фианитами и алпанитом
  ",Кольца,"{'Модель': 'S61731-K9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит, Алпанит', 'Вес изделия': '6.08 г'}",1490,283676
18.06.2024,Sunlight,"
    Серебряное шейное украшение с фианитами
  ",Шейное украшение,"{'Модель': 'S50133-H9W-01', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Вес изделия': '2.32 г'}",1490,105130
18.06.2024,Sunlight,"
    Серебряные серьги с фианитами
  ",Серьги,"{'Модель': '1210017811-503', 'Материал изделия': 'Серебро', 'Покрытие': 'Родий', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.53 г'}",1990,241347
18.06.2024,Sunlight,"
    Монета с эмалью
  ",Монета,"{'Модель': 'МОНЕТА 9362409063-31+мешочек', 'Покрытие': 'Родий', 'Вставка': 'Эмаль', 'Страна производства': 'Россия', 'Вес изделия': '2.72 г'}",1490,988953
18.06.2024,Sunlight,"
    Золотые серьги с бриллиантами
  ",Серьги,"{'Модель': '70332-C5W-01', 'Материал изделия': 'Белое золото', 'Покрытие': 'Родий', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.81 г'}",47990,100270
18.06.2024,Sunlight,"
    Золотые серьги с фианитами
  ",Серьги,"{'Модель': '5-4028-303-2К*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '1.44 г'}",12990,251657
18.06.2024,Sunlight,"
    Золотое кольцо с бриллиантами
  ",Кольца,"{'Модель': '70771-K5R-01', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Бриллиант', 'Страна производства': 'Россия', 'Вес изделия': '1.64 г'}",18990,234085
18.06.2024,Sunlight,"
    Золотое кольцо с фианитами
  ",Кольца,"{'Модель': '70195600*', 'Материал изделия': 'Розовое золото', 'Покрытие': 'с элементами родия', 'Вставка': 'Фианит', 'Страна производства': 'Россия', 'Вес изделия': '0.98 г'}",8990,46751
18.06.2024,Sunlight,"
    Золотое обручальное кольцо 
  ",Кольца,"{'Модель': '10-948-000К*', 'Материал изделия': 'Розовое золото', 'Ширина кольца': '2,0 мм', 'Страна производства': 'Россия', 'Вес изделия': '0.87 г'}",6495,320587
